id;x;y;gray;density
0;117.573675;444.820937;35;0.69136319
1;328.609270;364.230349;19;0.82400445
2;176.804060;238.935535;17;0.84157329
3;521.633649;245.998599;52;0.56544406
4;349.083367;373.542562;14;0.86834469
5;175.243308;418.762071;26;0.76425494
6;350.529548;94.792961;19;0.82400445
7;448.328045;181.678363;18;0.83276107
8;88.845466;417.751802;56;0.53799996
9;412.412712;74.887679;19;0.82400445
10;174.281168;320.917254;22;0.79806700
11;210.301722;60.442722;19;0.82400445
12;349.257996;194.469331;19;0.82400445
13;359.207833;112.139685;19;0.82400445
14;258.763121;396.221805;18;0.83276107
15;364.204194;206.080232;19;0.82400445
16;369.079550;175.871106;19;0.82400445
17;119.926138;401.838073;31;0.72321861
18;438.880737;93.264004;19;0.82400445
19;402.216490;165.244836;19;0.82400445
20;203.557822;40.736026;19;0.82400445
21;370.355452;141.681963;19;0.82400445
22;309.873142;162.102039;19;0.82400445
23;280.212413;49.642903;19;0.82400445
24;409.335481;471.327397;20;0.81530331
25;335.483954;402.385936;22;0.79806700
26;490.559080;163.435617;23;0.78953159
27;290.324934;162.901610;19;0.82400445
28;246.734444;182.723917;19;0.82400445
29;103.844213;320.507421;30;0.73131729
30;184.482450;220.378040;21;0.80665753
31;216.571713;207.107599;17;0.84157329
32;122.429623;350.715741;29;0.73947015
33;391.575431;51.336468;19;0.82400445
34;378.990189;328.948258;18;0.83276107
35;326.776705;76.541752;19;0.82400445
36;117.576194;309.152193;28;0.74767729
37;195.136242;59.630279;19;0.82400445
38;391.987174;70.287875;19;0.82400445
39;41.342375;254.430079;28;0.74767729
40;115.484881;380.593076;30;0.73131729
41;184.752842;502.115878;74;0.42446901
42;165.713970;67.300829;19;0.82400445
43;430.067395;71.142801;19;0.82400445
44;123.277581;293.497456;23;0.78953159
45;423.539477;185.624496;22;0.79806700
46;33.272099;294.638592;26;0.76425494
47;384.310572;112.309598;19;0.82400445
48;204.941291;360.651140;20;0.81530331
49;106.777858;361.471856;30;0.73131729
50;185.875366;77.810109;19;0.82400445
51;119.162923;321.279251;25;0.77262568
52;162.982736;295.524458;21;0.80665753
53;199.161045;215.528701;18;0.83276107
54;251.410905;369.250310;19;0.82400445
55;388.790386;247.404480;19;0.82400445
56;58.070893;265.386658;31;0.72321861
57;491.822756;148.732233;12;0.88647243
58;239.182713;363.742805;20;0.81530331
59;82.751740;357.589914;31;0.72321861
60;216.399678;218.354122;13;0.87738047
61;234.444330;119.532433;19;0.82400445
62;196.157706;321.666367;22;0.79806700
63;436.876432;186.888281;21;0.80665753
64;148.231409;340.450507;24;0.78105119
65;75.573326;266.634344;101;0.28343361
66;168.882857;489.080748;42;0.63767378
67;306.540555;65.735650;19;0.82400445
68;340.309986;52.999179;19;0.82400445
69;325.433608;144.963451;19;0.82400445
70;366.193519;191.266509;19;0.82400445
71;416.647033;208.323403;20;0.81530331
72;295.948521;375.854593;19;0.82400445
73;298.959184;44.574934;19;0.82400445
74;337.405944;200.474070;57;0.53126661
75;391.851627;82.753556;19;0.82400445
76;144.017230;369.930917;27;0.75593885
77;402.530272;230.275451;19;0.82400445
78;242.545929;497.200668;88;0.34708890
79;214.290747;36.020633;19;0.82400445
80;278.766584;89.676111;19;0.82400445
81;346.308296;389.293331;14;0.86834469
82;155.016289;453.739830;43;0.63021568
83;500.480512;136.550013;18;0.83276107
84;199.099260;73.741274;19;0.82400445
85;201.984149;27.215216;18;0.83276107
86;305.558662;384.254130;10;0.90482535
87;165.800328;401.292356;22;0.79806700
88;405.594354;492.447851;15;0.85936498
