id;x;y;gray;density
0;634.265775;578.360760;0;1.00000000
1;637.429713;181.207541;0;1.00000000
2;148.295291;460.049065;0;1.00000000
3;417.443830;604.872855;0;1.00000000
4;143.878201;1017.430999;0;1.00000000
5;499.668558;1082.517456;0;1.00000000
6;351.320020;1174.070597;0;1.00000000
7;612.413058;502.465081;0;1.00000000
8;228.567294;115.801653;0;1.00000000
9;453.213784;21.704688;0;1.00000000
10;63.368799;101.654192;0;1.00000000
11;348.073559;205.060815;0;1.00000000
12;396.599440;787.950635;0;1.00000000
13;382.870782;1194.431072;0;1.00000000
14;572.039055;457.903520;0;1.00000000
15;396.901147;710.451336;0;1.00000000
16;451.376317;43.968025;0;1.00000000
17;459.340904;881.499664;0;1.00000000
18;309.880653;498.487394;0;1.00000000
19;476.799553;587.275704;0;1.00000000
20;124.506075;1088.528875;0;1.00000000
21;599.390731;726.346791;0;1.00000000
22;252.807753;227.300922;0;1.00000000
23;384.204349;276.761166;0;1.00000000
24;154.221804;317.609130;0;1.00000000
25;37.828196;864.130241;0;1.00000000
26;225.093286;342.832499;0;1.00000000
27;648.489959;1029.510780;0;1.00000000
28;151.105208;198.637511;0;1.00000000
29;420.294564;932.236190;0;1.00000000
30;561.538977;574.137824;1;0.99022489
31;174.808010;150.849035;3;0.97084724
32;459.305241;101.303383;0;1.00000000
33;479.830518;43.024617;0;1.00000000
34;270.148190;774.248867;0;1.00000000
35;648.801325;987.542238;0;1.00000000
36;193.281954;160.364084;0;1.00000000
37;466.273436;529.418249;0;1.00000000
38;311.738167;72.892219;6;0.94221045
39;662.130942;627.571877;0;1.00000000
40;105.938239;828.891801;0;1.00000000
41;111.762077;355.342708;0;1.00000000
42;497.993371;792.540931;186;0.03808661
43;184.122708;706.768727;0;1.00000000
44;463.160239;390.497224;0;1.00000000
45;176.772806;164.732576;0;1.00000000
46;559.624022;938.028493;0;1.00000000
47;492.650334;606.089685;0;1.00000000
48;556.043825;1107.811216;1;0.99022489
49;616.501735;315.256520;0;1.00000000
50;565.111523;1193.941000;10;0.90482535
51;401.559370;743.531922;0;1.00000000
52;511.704070;1118.447343;0;1.00000000
53;192.513560;763.373842;0;1.00000000
54;126.097047;543.446741;0;1.00000000
55;265.600046;702.344226;0;1.00000000
56;262.068879;360.886559;0;1.00000000
57;56.901372;71.936919;0;1.00000000
58;626.025269;307.971946;0;1.00000000
59;407.527920;910.690249;0;1.00000000
60;518.266984;365.232300;7;0.93277898
61;33.158726;1037.195888;0;1.00000000
62;566.773892;1184.346917;0;1.00000000
63;364.229141;216.023591;0;1.00000000
64;323.779279;396.489566;2;0.98050735
65;485.939952;592.936837;0;1.00000000
66;671.513413;499.953875;0;1.00000000
67;574.154214;323.442633;0;1.00000000
68;222.721107;930.156911;0;1.00000000
69;464.765088;400.177495;0;1.00000000
70;549.787988;517.375985;0;1.00000000
71;326.496538;1173.649518;0;1.00000000
72;550.967430;293.666442;4;0.96124447
73;626.007370;362.120403;251;0.00003082
74;6.102342;910.513530;0;1.00000000
75;660.706279;653.530621;0;1.00000000
76;109.397411;840.115252;0;1.00000000
77;351.086409;1129.956513;0;1.00000000
78;423.900724;858.598418;0;1.00000000
