id;x;y;gray;density
0;11.061985;470.020126;0;1.00000000
1;338.806125;569.265366;0;1.00000000
2;572.703152;799.801789;4;0.96124447
3;490.608154;424.186693;0;1.00000000
4;168.798450;67.286941;4;0.96124447
5;263.311709;562.314030;3;0.97084724
6;109.248160;1003.622412;0;1.00000000
7;354.156692;856.571955;0;1.00000000
8;74.067648;883.534007;5;0.95169891
9;404.833002;775.616631;1;0.99022489
10;379.317435;365.765956;1;0.99022489
11;185.018311;468.340947;0;1.00000000
12;630.381154;121.137027;0;1.00000000
13;236.505291;1086.170565;0;1.00000000
14;294.301000;840.272956;23;0.78953159
15;56.726400;796.485053;0;1.00000000
16;491.208064;227.006110;0;1.00000000
17;247.963290;471.177313;16;0.85044122
18;566.253433;168.245216;105;0.26538581
19;86.205172;145.289479;0;1.00000000
20;81.895732;517.896010;0;1.00000000
21;673.407712;681.333706;0;1.00000000
22;371.757346;1079.821033;0;1.00000000
23;207.631604;766.827212;2;0.98050735
24;446.983839;585.523880;0;1.00000000
25;324.024322;976.938528;6;0.94221045
26;331.181362;430.686712;0;1.00000000
27;125.162975;1056.752240;0;1.00000000
28;247.245143;684.710160;2;0.98050735
29;210.462629;941.312102;46;0.60815638
30;356.980534;792.030146;0;1.00000000
31;456.204531;570.577687;0;1.00000000
32;460.644877;737.900265;0;1.00000000
33;197.730461;1023.509402;0;1.00000000
34;210.014440;1181.101422;7;0.93277898
35;594.397576;128.420232;3;0.97084724
36;58.096468;809.249325;0;1.00000000
37;127.846888;1084.760603;166;0.07196554
38;634.247314;1181.531650;0;1.00000000
39;542.770507;703.063460;1;0.99022489
40;95.552930;65.901150;0;1.00000000
41;26.886822;1191.022429;1;0.99022489
42;114.776265;796.037789;0;1.00000000
43;113.573369;191.049378;1;0.99022489
44;282.013877;239.277553;1;0.99022489
45;29.159524;478.614917;2;0.98050735
46;623.443564;1076.790330;0;1.00000000
47;377.312457;525.107512;1;0.99022489
48;83.963563;845.581285;0;1.00000000
49;508.871393;765.694058;4;0.96124447
50;283.707404;811.412587;0;1.00000000
51;355.065750;470.206127;0;1.00000000
52;97.135447;1116.933147;0;1.00000000
53;499.254228;488.096834;13;0.87738047
54;448.872334;1091.472152;0;1.00000000
55;150.881338;760.964630;0;1.00000000
56;410.223457;40.137208;0;1.00000000
57;286.734358;426.914663;11;0.89562068
58;449.714612;702.810705;1;0.99022489
59;6.840319;961.318270;6;0.94221045
60;265.450968;1114.563255;1;0.99022489
61;2.919452;384.929620;0;1.00000000
62;261.740886;1181.778830;3;0.97084724
63;393.469306;530.387177;0;1.00000000
64;479.571896;857.520448;0;1.00000000
65;551.583299;1150.015203;1;0.99022489
66;118.941398;250.930096;0;1.00000000
67;512.787287;403.970182;0;1.00000000
68;649.904515;165.518525;0;1.00000000
69;125.278763;1023.346674;0;1.00000000
70;459.558647;1129.859700;9;0.91408655
71;11.374105;142.816153;0;1.00000000
72;199.519867;107.800664;13;0.87738047
73;66.259397;1079.451367;28;0.74767729
74;274.465577;657.523081;144;0.12501352
75;302.627069;386.685863;0;1.00000000
76;111.224705;232.393173;0;1.00000000
77;641.841232;755.774139;1;0.99022489
78;408.085977;161.691173;1;0.99022489
79;525.324209;21.222992;0;1.00000000
80;254.045209;908.453810;0;1.00000000
81;56.191139;868.905264;0;1.00000000
82;9.729885;211.278182;0;1.00000000
83;422.911860;682.318466;4;0.96124447
84;153.254392;1093.032664;0;1.00000000
85;202.712229;376.384939;0;1.00000000
86;507.900557;418.787191;46;0.60815638
87;576.736365;232.110895;5;0.95169891
88;429.020672;852.034414;0;1.00000000
89;629.394115;817.420981;1;0.99022489
90;252.316574;368.897592;0;1.00000000
91;288.576574;615.668734;10;0.90482535
92;285.697146;802.346718;0;1.00000000
93;668.155161;855.367065;0;1.00000000
94;93.029629;555.369343;0;1.00000000
95;18.446148;287.529612;0;1.00000000
96;172.229017;118.324096;54;0.55161960
97;302.430867;1131.448798;59;0.51795225
98;530.639778;1053.972891;0;1.00000000
99;102.401881;1122.653734;0;1.00000000
100;288.828690;1088.763196;0;1.00000000
101;0.634842;1152.105247;0;1.00000000
102;124.805418;309.786157;17;0.84157329
103;70.427488;666.965971;3;0.97084724
104;112.079031;660.805706;6;0.94221045
105;103.703274;571.675266;1;0.99022489
106;629.233632;1156.092396;0;1.00000000
107;235.579997;605.322154;1;0.99022489
108;277.157403;632.504204;1;0.99022489
109;120.803873;1050.367062;0;1.00000000
110;227.631429;710.295739;4;0.96124447
111;190.962907;223.496577;0;1.00000000
112;377.821280;857.060817;2;0.98050735
113;607.280373;92.853631;0;1.00000000
114;557.972207;394.692968;0;1.00000000
115;160.483906;64.775527;0;1.00000000
116;423.889408;501.923719;0;1.00000000
117;94.820866;947.049871;0;1.00000000
118;386.888094;1137.395212;0;1.00000000
119;477.940991;179.295267;1;0.99022489
120;46.307570;251.004570;0;1.00000000
121;350.842863;1157.607740;0;1.00000000
122;600.040454;802.758551;2;0.98050735
123;216.009258;84.061799;1;0.99022489
124;233.244964;490.057075;98;0.29743953
125;198.295268;437.023823;4;0.96124447
126;556.806811;555.937368;0;1.00000000
127;553.170442;844.111250;1;0.99022489
128;101.993732;426.397125;0;1.00000000
129;48.594719;872.053061;0;1.00000000
130;326.761008;623.063583;99;0.29272583
131;449.881773;884.811682;3;0.97084724
132;554.770229;300.418303;2;0.98050735
133;279.110060;1177.679844;1;0.99022489
134;196.567959;264.656747;0;1.00000000
135;426.744855;891.653538;3;0.97084724
136;6.011164;119.885987;7;0.93277898
137;27.804127;74.772059;11;0.89562068
138;117.909306;203.750001;0;1.00000000
139;186.752896;593.427288;1;0.99022489
140;493.604023;987.125398;10;0.90482535
141;505.690955;213.130568;3;0.97084724
142;364.132457;816.620048;0;1.00000000
143;274.647418;49.764004;0;1.00000000
144;291.181518;1009.587024;141;0.13363237
145;52.365218;1088.907105;2;0.98050735
146;86.839822;254.943757;0;1.00000000
147;30.563493;743.339372;0;1.00000000
148;151.113118;646.368355;8;0.92340438
149;309.929546;536.465826;0;1.00000000
150;454.487925;1050.331245;6;0.94221045
151;632.656335;1136.695273;0;1.00000000
152;561.413853;404.515001;1;0.99022489
153;575.558978;1045.000975;3;0.97084724
154;220.746990;877.236599;0;1.00000000
155;363.543658;1093.451363;0;1.00000000
156;57.595985;18.965683;0;1.00000000
157;446.103484;612.415223;0;1.00000000
158;206.289714;96.441080;1;0.99022489
159;620.421799;441.855349;1;0.99022489
160;355.600933;229.604658;0;1.00000000
161;84.097160;8.906268;6;0.94221045
162;621.640288;451.688687;1;0.99022489
163;670.000269;838.540771;0;1.00000000
164;602.406368;40.179599;6;0.94221045
165;9.514651;218.993556;0;1.00000000
166;550.072008;1.148487;0;1.00000000
167;108.085097;1079.545201;0;1.00000000
168;460.089516;551.658143;0;1.00000000
169;259.541296;939.420007;0;1.00000000
170;637.298300;445.825573;1;0.99022489
171;549.654421;858.837699;0;1.00000000
172;321.493215;632.574371;2;0.98050735
173;613.065718;1171.035103;8;0.92340438
174;601.368889;633.998910;3;0.97084724
175;454.103998;449.969560;6;0.94221045
176;607.745726;1005.651128;154;0.09873087
177;557.258441;531.287074;0;1.00000000
178;289.018519;794.481763;0;1.00000000
179;245.391506;1055.477896;0;1.00000000
180;559.080754;339.149588;1;0.99022489
181;293.774004;257.838259;0;1.00000000
182;274.112732;996.537982;0;1.00000000
183;503.821173;40.531228;4;0.96124447
184;590.545154;17.529578;0;1.00000000
185;403.863276;678.625127;4;0.96124447
186;54.121203;378.663926;1;0.99022489
187;334.448060;441.213847;5;0.95169891
188;647.077234;874.303334;0;1.00000000
189;468.792301;1194.482569;8;0.92340438
190;611.849146;145.196917;0;1.00000000
191;285.058448;171.692516;1;0.99022489
192;131.628399;520.947959;1;0.99022489
193;120.584565;64.207893;3;0.97084724
194;252.498587;1198.870585;7;0.93277898
195;8.348056;916.064555;183;0.04236242
196;77.449284;447.874559;2;0.98050735
197;429.964231;794.610873;1;0.99022489
198;185.596793;1082.394470;1;0.99022489
199;396.270753;445.050985;0;1.00000000
200;345.358942;709.017178;1;0.99022489
201;636.481793;185.731386;1;0.99022489
202;102.911506;952.933366;0;1.00000000
203;376.623514;631.135285;4;0.96124447
204;174.272734;956.631422;2;0.98050735
205;629.488927;1057.572324;0;1.00000000
206;454.301263;465.028601;1;0.99022489
207;295.860332;489.383536;104;0.26983105
208;135.202714;512.975138;0;1.00000000
209;597.682379;921.485432;0;1.00000000
210;353.950897;1100.046628;0;1.00000000
211;59.262355;893.215027;0;1.00000000
212;656.198532;284.300983;3;0.97084724
213;227.384895;159.850039;10;0.90482535
214;4.589695;1043.938804;0;1.00000000
215;46.067146;272.208162;0;1.00000000
216;540.446876;565.219813;0;1.00000000
217;490.314799;504.673212;1;0.99022489
218;430.177158;1094.319246;0;1.00000000
219;27.399806;1144.687869;33;0.70718328
220;216.514284;189.206313;0;1.00000000
221;672.081235;548.780196;0;1.00000000
222;564.643556;305.837175;0;1.00000000
223;504.094486;405.009562;0;1.00000000
224;38.574606;99.044970;6;0.94221045
225;435.191268;416.895271;0;1.00000000
226;324.228789;137.890367;2;0.98050735
227;3.826241;363.377055;0;1.00000000
228;43.665426;900.786906;0;1.00000000
229;311.137526;676.068394;3;0.97084724
230;68.432950;1133.198334;1;0.99022489
231;443.770605;994.301435;1;0.99022489
232;616.645942;463.972003;4;0.96124447
233;533.299813;221.986757;0;1.00000000
234;1.106712;1087.721013;0;1.00000000
235;561.004832;1010.947890;0;1.00000000
236;137.295879;154.042519;5;0.95169891
237;273.824949;120.526234;0;1.00000000
238;519.999598;974.331060;41;0.64518458
