dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_Vinyl.bin,iteration_best_cov20_baseline,1,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,862.0966,0.265595
gray_Vinyl.bin,iteration_best_cov20_baseline,2,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,848.3842,0.253665
gray_Vinyl.bin,iteration_best_cov20_baseline,3,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,841.8729,0.269753
gray_Vinyl.bin,iteration_best_cov20_baseline,4,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,847.4692,0.266769
gray_Vinyl.bin,iteration_best_cov20_baseline,5,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,877.4670,0.271090
gray_Vinyl.bin,iteration_best_cov20_baseline,6,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,891.0932,0.265556
gray_Vinyl.bin,iteration_best_cov20_baseline,7,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,873.5416,0.266896
gray_Vinyl.bin,iteration_best_cov20_baseline,8,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,865.0092,0.268881
gray_Vinyl.bin,iteration_best_cov20_baseline,9,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,850.7941,0.268321
gray_Vinyl.bin,iteration_best_cov20_baseline,10,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,836.1521,0.269942
gray_Vinyl.bin,iteration_best_cov20_baseline,11,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,869.6629,0.272289
gray_Vinyl.bin,iteration_best_cov20_baseline,12,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,862.4273,0.266231
gray_Vinyl.bin,iteration_best_cov20_baseline,13,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,851.0111,0.273883
gray_Vinyl.bin,iteration_best_cov20_baseline,14,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,905.6228,0.268383
gray_Vinyl.bin,iteration_best_cov20_baseline,15,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,886.1286,0.279494
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,1,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,876.1036,0.272334
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,2,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,851.5384,0.269398
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,3,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,866.3435,0.273173
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,4,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,871.7993,0.270794
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,5,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,860.2689,0.274279
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,6,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,849.3211,0.274664
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,7,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,877.0461,0.271096
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,8,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,867.6711,0.273520
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,9,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,889.2708,0.275102
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,10,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,877.9066,0.270797
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,11,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,865.8487,0.280428
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,12,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,859.8733,0.274821
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,13,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,847.1598,0.270075
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,14,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,864.1626,0.281140
gray_Vinyl.bin,iteration_best_cov20_alpha=0.2,15,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,858.2402,0.274935
gray_Vinyl.bin,iteration_best_cov20_alpha=0.5,1,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,845.2365,0.282749
gray_Vinyl.bin,iteration_best_cov20_alpha=0.5,2,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,843.4953,0.277386
gray_Vinyl.bin,iteration_best_cov20_alpha=0.5,3,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,848.0616,0.277324
gray_Vinyl.bin,iteration_best_cov20_alpha=0.5,4,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,840.1878,0.275668
