dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_bnw.bin,iteration_best_cov20_baseline,1,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1724.1638,0.285060
gray_bnw.bin,iteration_best_cov20_baseline,2,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1834.8955,0.284926
gray_bnw.bin,iteration_best_cov20_baseline,3,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1657.0827,0.285324
gray_bnw.bin,iteration_best_cov20_baseline,4,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1730.0330,0.281076
gray_bnw.bin,iteration_best_cov20_baseline,5,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1639.5861,0.289499
gray_bnw.bin,iteration_best_cov20_baseline,6,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1736.7193,0.281812
gray_bnw.bin,iteration_best_cov20_baseline,7,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1665.2067,0.284259
gray_bnw.bin,iteration_best_cov20_baseline,8,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1651.4203,0.279699
gray_bnw.bin,iteration_best_cov20_baseline,9,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1676.2111,0.279013
gray_bnw.bin,iteration_best_cov20_baseline,10,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1633.1348,0.280637
gray_bnw.bin,iteration_best_cov20_baseline,11,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1683.0923,0.279848
gray_bnw.bin,iteration_best_cov20_baseline,12,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1732.5012,0.283954
gray_bnw.bin,iteration_best_cov20_baseline,13,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1675.2032,0.280858
gray_bnw.bin,iteration_best_cov20_baseline,14,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1751.4125,0.272286
gray_bnw.bin,iteration_best_cov20_baseline,15,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1619.0562,0.277194
gray_bnw.bin,iteration_best_cov20_alpha=0.2,1,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1731.9083,0.282401
gray_bnw.bin,iteration_best_cov20_alpha=0.2,2,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1705.8381,0.277694
gray_bnw.bin,iteration_best_cov20_alpha=0.2,3,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1749.6319,0.279466
gray_bnw.bin,iteration_best_cov20_alpha=0.2,4,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1745.6866,0.279478
gray_bnw.bin,iteration_best_cov20_alpha=0.2,5,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1659.2559,0.285811
gray_bnw.bin,iteration_best_cov20_alpha=0.2,6,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1730.4319,0.280261
gray_bnw.bin,iteration_best_cov20_alpha=0.2,7,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1723.4840,0.279267
gray_bnw.bin,iteration_best_cov20_alpha=0.2,8,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1746.5368,0.282617
gray_bnw.bin,iteration_best_cov20_alpha=0.2,9,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1733.7259,0.282680
gray_bnw.bin,iteration_best_cov20_alpha=0.2,10,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1720.3392,0.277842
gray_bnw.bin,iteration_best_cov20_alpha=0.2,11,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1723.1465,0.279475
gray_bnw.bin,iteration_best_cov20_alpha=0.2,12,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1731.1314,0.280911
gray_bnw.bin,iteration_best_cov20_alpha=0.2,13,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1770.8618,0.282548
gray_bnw.bin,iteration_best_cov20_alpha=0.2,14,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1775.6639,0.276620
gray_bnw.bin,iteration_best_cov20_alpha=0.2,15,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1713.1800,0.283303
gray_bnw.bin,iteration_best_cov20_alpha=0.5,1,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1669.7543,0.283874
gray_bnw.bin,iteration_best_cov20_alpha=0.5,2,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1675.4130,0.282803
gray_bnw.bin,iteration_best_cov20_alpha=0.5,3,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1703.8974,0.281544
gray_bnw.bin,iteration_best_cov20_alpha=0.5,4,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1682.0034,0.276542
gray_bnw.bin,iteration_best_cov20_alpha=0.5,5,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1674.6797,0.281244
gray_bnw.bin,iteration_best_cov20_alpha=0.5,6,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1666.5950,0.277944
gray_bnw.bin,iteration_best_cov20_alpha=0.5,7,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1680.8519,0.281469
gray_bnw.bin,iteration_best_cov20_alpha=0.5,8,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1662.9005,0.282634
gray_bnw.bin,iteration_best_cov20_alpha=0.5,9,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1679.1971,0.283350
gray_bnw.bin,iteration_best_cov20_alpha=0.5,10,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1682.4162,0.275264
gray_bnw.bin,iteration_best_cov20_alpha=0.5,11,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1653.6517,0.281624
gray_bnw.bin,iteration_best_cov20_alpha=0.5,12,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1702.9306,0.285641
gray_bnw.bin,iteration_best_cov20_alpha=0.5,13,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1693.3439,0.280100
gray_bnw.bin,iteration_best_cov20_alpha=0.5,14,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1661.2970,0.279027
gray_bnw.bin,iteration_best_cov20_alpha=0.5,15,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1674.1104,0.279613
gray_bnw.bin,iteration_best_cov20_alpha=1,1,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1650.4953,0.135636
gray_bnw.bin,iteration_best_cov20_alpha=1,2,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1622.6137,0.134396
gray_bnw.bin,iteration_best_cov20_alpha=1,3,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1643.5237,0.135928
gray_bnw.bin,iteration_best_cov20_alpha=1,4,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1648.1909,0.133044
gray_bnw.bin,iteration_best_cov20_alpha=1,5,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1650.4953,0.134937
gray_bnw.bin,iteration_best_cov20_alpha=1,6,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1649.1827,0.134206
gray_bnw.bin,iteration_best_cov20_alpha=1,7,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1606.2340,0.135153
gray_bnw.bin,iteration_best_cov20_alpha=1,8,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1646.3615,0.132221
gray_bnw.bin,iteration_best_cov20_alpha=1,9,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1665.6885,0.132511
gray_bnw.bin,iteration_best_cov20_alpha=1,10,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1632.5076,0.134439
gray_bnw.bin,iteration_best_cov20_alpha=1,11,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1605.6887,0.133532
gray_bnw.bin,iteration_best_cov20_alpha=1,12,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1619.9797,0.132939
gray_bnw.bin,iteration_best_cov20_alpha=1,13,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1685.5102,0.133562
gray_bnw.bin,iteration_best_cov20_alpha=1,14,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1648.4485,0.133380
gray_bnw.bin,iteration_best_cov20_alpha=1,15,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1650.0255,0.132889
gray_bnw.bin,iteration_best_cov20_alpha=3,1,iteration_best,0.2,3,6,0.2,64,250,0,0,0,5,1842.5277,0.280867
