dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_gradient.bin,iteration_best_cov20_baseline,1,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1494.4359,0.279973
gray_gradient.bin,iteration_best_cov20_baseline,2,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1444.3663,0.279918
gray_gradient.bin,iteration_best_cov20_baseline,3,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1365.1270,0.284828
gray_gradient.bin,iteration_best_cov20_baseline,4,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1371.0070,0.279714
gray_gradient.bin,iteration_best_cov20_baseline,5,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1414.7107,0.286034
gray_gradient.bin,iteration_best_cov20_baseline,6,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1411.5440,0.280646
gray_gradient.bin,iteration_best_cov20_baseline,7,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1383.0844,0.281311
gray_gradient.bin,iteration_best_cov20_baseline,8,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1418.8694,0.277569
gray_gradient.bin,iteration_best_cov20_baseline,9,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1380.2153,0.278110
gray_gradient.bin,iteration_best_cov20_baseline,10,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1360.2462,0.280602
gray_gradient.bin,iteration_best_cov20_baseline,11,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1371.6869,0.279234
gray_gradient.bin,iteration_best_cov20_baseline,12,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1371.7390,0.275589
gray_gradient.bin,iteration_best_cov20_baseline,13,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1356.9906,0.278412
gray_gradient.bin,iteration_best_cov20_baseline,14,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1384.3621,0.278061
gray_gradient.bin,iteration_best_cov20_baseline,15,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1376.2617,0.279749
gray_gradient.bin,iteration_best_cov20_alpha=0.2,1,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1417.8570,0.279896
gray_gradient.bin,iteration_best_cov20_alpha=0.2,2,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1417.3214,0.279952
gray_gradient.bin,iteration_best_cov20_alpha=0.2,3,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1392.8595,0.297437
gray_gradient.bin,iteration_best_cov20_alpha=0.2,4,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1387.0378,0.281663
gray_gradient.bin,iteration_best_cov20_alpha=0.2,5,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1429.6414,0.280434
gray_gradient.bin,iteration_best_cov20_alpha=0.2,6,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1375.0088,0.283105
gray_gradient.bin,iteration_best_cov20_alpha=0.2,7,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1435.3780,0.288522
gray_gradient.bin,iteration_best_cov20_alpha=0.2,8,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1399.5074,0.291764
gray_gradient.bin,iteration_best_cov20_alpha=0.2,9,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1394.1688,0.284075
gray_gradient.bin,iteration_best_cov20_alpha=0.2,10,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1405.7028,0.280272
gray_gradient.bin,iteration_best_cov20_alpha=0.2,11,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1394.3748,0.282553
gray_gradient.bin,iteration_best_cov20_alpha=0.2,12,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1345.0656,0.286380
gray_gradient.bin,iteration_best_cov20_alpha=0.2,13,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1435.3240,0.280062
gray_gradient.bin,iteration_best_cov20_alpha=0.2,14,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1424.9059,0.283047
gray_gradient.bin,iteration_best_cov20_alpha=0.2,15,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1437.8712,0.283429
gray_gradient.bin,iteration_best_cov20_alpha=0.5,1,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1314.4566,0.278546
gray_gradient.bin,iteration_best_cov20_alpha=0.5,2,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1340.6797,0.279272
gray_gradient.bin,iteration_best_cov20_alpha=0.5,3,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1335.4088,0.279364
gray_gradient.bin,iteration_best_cov20_alpha=0.5,4,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1321.6393,0.285099
gray_gradient.bin,iteration_best_cov20_alpha=0.5,5,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1322.7848,0.281642
gray_gradient.bin,iteration_best_cov20_alpha=0.5,6,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1328.0802,0.281712
gray_gradient.bin,iteration_best_cov20_alpha=0.5,7,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1317.7845,0.279483
gray_gradient.bin,iteration_best_cov20_alpha=0.5,8,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1346.1915,0.283651
gray_gradient.bin,iteration_best_cov20_alpha=0.5,9,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1343.7709,0.279612
gray_gradient.bin,iteration_best_cov20_alpha=0.5,10,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1324.5315,0.284186
gray_gradient.bin,iteration_best_cov20_alpha=0.5,11,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1330.9658,0.288572
