dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_zebra.bin,iteration_best_cov20_baseline,1,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1886.6506,0.278754
gray_zebra.bin,iteration_best_cov20_baseline,2,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1873.4554,0.282099
gray_zebra.bin,iteration_best_cov20_baseline,3,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1913.4222,0.277371
gray_zebra.bin,iteration_best_cov20_baseline,4,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1880.8644,0.275135
gray_zebra.bin,iteration_best_cov20_baseline,5,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1879.5373,0.277531
gray_zebra.bin,iteration_best_cov20_baseline,6,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1850.3579,0.279282
gray_zebra.bin,iteration_best_cov20_baseline,7,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1924.0276,0.279520
gray_zebra.bin,iteration_best_cov20_baseline,8,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1947.6027,0.275483
gray_zebra.bin,iteration_best_cov20_baseline,9,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1907.3529,0.280114
gray_zebra.bin,iteration_best_cov20_baseline,10,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1954.5236,0.283173
gray_zebra.bin,iteration_best_cov20_baseline,11,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1858.1383,0.273126
gray_zebra.bin,iteration_best_cov20_baseline,12,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1949.5405,0.278272
gray_zebra.bin,iteration_best_cov20_baseline,13,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1838.9690,0.311892
gray_zebra.bin,iteration_best_cov20_baseline,14,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,2011.4535,0.283059
gray_zebra.bin,iteration_best_cov20_baseline,15,iteration_best,0.2,2,6,0.2,64,250,0,0,0,5,1870.8521,0.282020
gray_zebra.bin,iteration_best_cov20_alpha=0.2,1,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1897.8704,0.284657
gray_zebra.bin,iteration_best_cov20_alpha=0.2,2,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1843.3918,0.278475
gray_zebra.bin,iteration_best_cov20_alpha=0.2,3,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1920.7649,0.283502
gray_zebra.bin,iteration_best_cov20_alpha=0.2,4,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1907.8437,0.281666
gray_zebra.bin,iteration_best_cov20_alpha=0.2,5,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1917.0928,0.279707
gray_zebra.bin,iteration_best_cov20_alpha=0.2,6,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1956.4590,0.285680
gray_zebra.bin,iteration_best_cov20_alpha=0.2,7,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1880.3350,0.280913
gray_zebra.bin,iteration_best_cov20_alpha=0.2,8,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1908.1051,0.282316
gray_zebra.bin,iteration_best_cov20_alpha=0.2,9,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1934.8542,0.281471
gray_zebra.bin,iteration_best_cov20_alpha=0.2,10,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1878.2299,0.280124
gray_zebra.bin,iteration_best_cov20_alpha=0.2,11,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1918.4177,0.279278
gray_zebra.bin,iteration_best_cov20_alpha=0.2,12,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1892.7055,0.281714
gray_zebra.bin,iteration_best_cov20_alpha=0.2,13,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1913.2338,0.279659
gray_zebra.bin,iteration_best_cov20_alpha=0.2,14,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1911.0193,0.278613
gray_zebra.bin,iteration_best_cov20_alpha=0.2,15,iteration_best,0.2,0.2,6,0.2,64,250,0,0,0,5,1909.2554,0.280727
gray_zebra.bin,iteration_best_cov20_alpha=0.5,1,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1822.2218,0.282870
gray_zebra.bin,iteration_best_cov20_alpha=0.5,2,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1822.2218,0.283887
gray_zebra.bin,iteration_best_cov20_alpha=0.5,3,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1826.2298,0.279609
gray_zebra.bin,iteration_best_cov20_alpha=0.5,4,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1837.2523,0.277719
gray_zebra.bin,iteration_best_cov20_alpha=0.5,5,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1818.2156,0.282074
gray_zebra.bin,iteration_best_cov20_alpha=0.5,6,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1831.9196,0.290480
gray_zebra.bin,iteration_best_cov20_alpha=0.5,7,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1834.2213,0.281338
gray_zebra.bin,iteration_best_cov20_alpha=0.5,8,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1816.1288,0.320580
gray_zebra.bin,iteration_best_cov20_alpha=0.5,9,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1800.4603,0.320966
gray_zebra.bin,iteration_best_cov20_alpha=0.5,10,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1803.4611,0.303622
gray_zebra.bin,iteration_best_cov20_alpha=0.5,11,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1837.2523,0.330673
gray_zebra.bin,iteration_best_cov20_alpha=0.5,12,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1847.0991,0.328651
gray_zebra.bin,iteration_best_cov20_alpha=0.5,13,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1809.1492,0.280665
gray_zebra.bin,iteration_best_cov20_alpha=0.5,14,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1836.0652,0.279595
gray_zebra.bin,iteration_best_cov20_alpha=0.5,15,iteration_best,0.2,0.5,6,0.2,64,250,0,0,0,5,1812.1208,0.278833
gray_zebra.bin,iteration_best_cov20_alpha=1,1,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1836.0652,0.133657
gray_zebra.bin,iteration_best_cov20_alpha=1,2,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1921.6390,0.132786
gray_zebra.bin,iteration_best_cov20_alpha=1,3,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1800.4603,0.133436
gray_zebra.bin,iteration_best_cov20_alpha=1,4,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1836.0652,0.137623
gray_zebra.bin,iteration_best_cov20_alpha=1,5,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1844.1755,0.132739
gray_zebra.bin,iteration_best_cov20_alpha=1,6,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1810.5171,0.132241
gray_zebra.bin,iteration_best_cov20_alpha=1,7,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1800.4603,0.133197
gray_zebra.bin,iteration_best_cov20_alpha=1,8,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1845.0140,0.132494
gray_zebra.bin,iteration_best_cov20_alpha=1,9,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1859.4067,0.135568
gray_zebra.bin,iteration_best_cov20_alpha=1,10,iteration_best,0.2,1,6,0.2,64,250,0,0,0,5,1836.5474,0.132399
