dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_Vinyl.bin,baseline,1,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,2245.4133,1.038877
gray_Vinyl.bin,use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,2238.9259,0.000576
gray_Vinyl.bin,use_or_opt=true,1,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,2235.3569,0.001092
gray_Vinyl.bin,use_node_exchange=true,1,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,2245.4133,0.000461
gray_Vinyl.bin,use_node_exchange=true_use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,2238.9259,0.000979
gray_Vinyl.bin,baseline,2,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,2263.3062,1.180902
gray_Vinyl.bin,use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,2239.1879,0.000550
gray_Vinyl.bin,use_or_opt=true,2,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,2239.1103,0.001207
gray_Vinyl.bin,use_node_exchange=true,2,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,2263.3062,0.000447
gray_Vinyl.bin,use_node_exchange=true_use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,2239.1879,0.000975
gray_Vinyl.bin,baseline,3,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,2382.6196,1.044637
gray_Vinyl.bin,use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,2331.7859,0.000604
gray_Vinyl.bin,use_or_opt=true,3,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,2334.2809,0.003190
gray_Vinyl.bin,use_node_exchange=true,3,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,2382.6196,0.000460
gray_Vinyl.bin,use_node_exchange=true_use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,2331.7859,0.001058
gray_Vinyl.bin,baseline,4,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,2471.7688,1.051270
