dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_bnw.bin,baseline,1,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4257.9820,1.096183
gray_bnw.bin,use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4169.5051,0.000611
gray_bnw.bin,use_or_opt=true,1,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4162.9742,0.002732
gray_bnw.bin,use_node_exchange=true,1,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4257.9820,0.000473
gray_bnw.bin,use_node_exchange=true_use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4169.5051,0.001012
gray_bnw.bin,baseline,2,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4295.8910,1.091532
gray_bnw.bin,use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4262.7661,0.000583
gray_bnw.bin,use_or_opt=true,2,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4256.2864,0.001976
gray_bnw.bin,use_node_exchange=true,2,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4295.8910,0.000462
gray_bnw.bin,use_node_exchange=true_use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4262.7661,0.000978
gray_bnw.bin,baseline,3,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4601.7784,1.088079
gray_bnw.bin,use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4495.4131,0.000583
gray_bnw.bin,use_or_opt=true,3,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4476.0116,0.003779
gray_bnw.bin,use_node_exchange=true,3,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4601.7784,0.000447
gray_bnw.bin,use_node_exchange=true_use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4495.4131,0.000974
gray_bnw.bin,baseline,4,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4421.6084,1.114231
