dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_gradient.bin,baseline,1,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3619.0979,1.112480
gray_gradient.bin,use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3598.1758,0.000579
gray_gradient.bin,use_or_opt=true,1,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3598.1758,0.001470
gray_gradient.bin,use_node_exchange=true,1,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3619.0979,0.000447
gray_gradient.bin,use_node_exchange=true_use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3598.1758,0.000974
gray_gradient.bin,baseline,2,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3684.4187,1.124514
gray_gradient.bin,use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3652.9206,0.000842
gray_gradient.bin,use_or_opt=true,2,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3652.8652,0.001997
gray_gradient.bin,use_node_exchange=true,2,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3684.4187,0.000448
gray_gradient.bin,use_node_exchange=true_use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3652.9206,0.001215
gray_gradient.bin,baseline,3,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3732.1913,1.137255
gray_gradient.bin,use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3681.4431,0.000578
gray_gradient.bin,use_or_opt=true,3,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3675.4840,0.002456
gray_gradient.bin,use_node_exchange=true,3,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3732.1913,0.000474
gray_gradient.bin,use_node_exchange=true_use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3681.4431,0.001001
gray_gradient.bin,baseline,4,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3700.2532,1.166240
gray_gradient.bin,use_2opt=true,4,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3658.3479,0.000613
gray_gradient.bin,use_or_opt=true,4,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3655.5953,0.001835
gray_gradient.bin,use_node_exchange=true,4,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3700.2532,0.000464
gray_gradient.bin,use_node_exchange=true_use_2opt=true,4,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3658.3479,0.000990
gray_gradient.bin,baseline,5,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3760.4042,1.108692
gray_gradient.bin,use_2opt=true,5,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3760.4042,0.000292
gray_gradient.bin,use_or_opt=true,5,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3760.3488,0.000714
gray_gradient.bin,use_node_exchange=true,5,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3760.4042,0.000473
gray_gradient.bin,use_node_exchange=true_use_2opt=true,5,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3760.4042,0.000730
gray_gradient.bin,baseline,6,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3700.9178,1.120699
gray_gradient.bin,use_2opt=true,6,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3655.7994,0.000828
gray_gradient.bin,use_or_opt=true,6,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3639.5090,0.002755
gray_gradient.bin,use_node_exchange=true,6,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3700.9178,0.000447
gray_gradient.bin,use_node_exchange=true_use_2opt=true,6,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3655.7994,0.001210
gray_gradient.bin,baseline,7,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3660.8808,1.118210
gray_gradient.bin,use_2opt=true,7,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3659.5543,0.000632
gray_gradient.bin,use_or_opt=true,7,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3651.8925,0.001120
gray_gradient.bin,use_node_exchange=true,7,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3660.8808,0.000490
gray_gradient.bin,use_node_exchange=true_use_2opt=true,7,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3659.5543,0.001065
gray_gradient.bin,baseline,8,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3731.4798,1.116751
gray_gradient.bin,use_2opt=true,8,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3702.1787,0.000563
gray_gradient.bin,use_or_opt=true,8,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3702.1233,0.001839
gray_gradient.bin,use_node_exchange=true,8,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3731.4798,0.000467
gray_gradient.bin,use_node_exchange=true_use_2opt=true,8,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3702.1787,0.000974
gray_gradient.bin,baseline,9,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3607.3209,1.129967
gray_gradient.bin,use_2opt=true,9,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3573.5049,0.000564
gray_gradient.bin,use_or_opt=true,9,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3573.5049,0.000875
gray_gradient.bin,use_node_exchange=true,9,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3607.3209,0.000460
gray_gradient.bin,use_node_exchange=true_use_2opt=true,9,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3573.5049,0.001000
gray_gradient.bin,baseline,10,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3653.7242,1.137860
gray_gradient.bin,use_2opt=true,10,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3604.7568,0.000583
gray_gradient.bin,use_or_opt=true,10,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3582.7005,0.001261
gray_gradient.bin,use_node_exchange=true,10,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3653.7242,0.000474
gray_gradient.bin,use_node_exchange=true_use_2opt=true,10,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3604.7568,0.001034
gray_gradient.bin,baseline,11,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3639.3495,1.122777
gray_gradient.bin,use_2opt=true,11,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3607.4051,0.000605
gray_gradient.bin,use_or_opt=true,11,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3607.4051,0.002214
gray_gradient.bin,use_node_exchange=true,11,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3639.3495,0.000487
gray_gradient.bin,use_node_exchange=true_use_2opt=true,11,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3607.4051,0.001062
gray_gradient.bin,baseline,12,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3712.1393,1.136281
gray_gradient.bin,use_2opt=true,12,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3655.2160,0.000580
gray_gradient.bin,use_or_opt=true,12,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3648.2726,0.002119
gray_gradient.bin,use_node_exchange=true,12,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3712.1393,0.000479
gray_gradient.bin,use_node_exchange=true_use_2opt=true,12,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3655.2160,0.001032
gray_gradient.bin,baseline,13,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3562.4703,1.127871
gray_gradient.bin,use_2opt=true,13,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3517.7387,0.000863
gray_gradient.bin,use_or_opt=true,13,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3501.3929,0.002265
gray_gradient.bin,use_node_exchange=true,13,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3562.4703,0.000488
gray_gradient.bin,use_node_exchange=true_use_2opt=true,13,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3517.7387,0.001306
gray_gradient.bin,baseline,14,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3778.7939,1.129746
gray_gradient.bin,use_2opt=true,14,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3727.9344,0.000562
gray_gradient.bin,use_or_opt=true,14,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3677.7651,0.002990
gray_gradient.bin,use_node_exchange=true,14,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3778.7939,0.000432
gray_gradient.bin,use_node_exchange=true_use_2opt=true,14,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3727.9344,0.000926
gray_gradient.bin,baseline,15,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,3537.8523,1.127388
gray_gradient.bin,use_2opt=true,15,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,3525.9951,0.000620
gray_gradient.bin,use_or_opt=true,15,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,3534.8609,0.001516
gray_gradient.bin,use_node_exchange=true,15,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,3537.8523,0.000473
gray_gradient.bin,use_node_exchange=true_use_2opt=true,15,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,3525.9951,0.001071
