dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_zebra.bin,baseline,1,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,5023.2200,1.127078
gray_zebra.bin,use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4972.3634,0.000869
gray_zebra.bin,use_or_opt=true,1,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4973.3021,0.002332
gray_zebra.bin,use_node_exchange=true,1,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,5023.2200,0.000460
gray_zebra.bin,use_node_exchange=true_use_2opt=true,1,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4972.3634,0.001311
gray_zebra.bin,baseline,2,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4876.0193,1.110731
gray_zebra.bin,use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4845.9558,0.000598
gray_zebra.bin,use_or_opt=true,2,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4845.9558,0.001618
gray_zebra.bin,use_node_exchange=true,2,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4876.0193,0.000474
gray_zebra.bin,use_node_exchange=true_use_2opt=true,2,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4845.9558,0.001560
gray_zebra.bin,baseline,3,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,5095.7046,1.126113
gray_zebra.bin,use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,5011.6200,0.000872
gray_zebra.bin,use_or_opt=true,3,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4991.8823,0.003038
gray_zebra.bin,use_node_exchange=true,3,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,5095.7046,0.000530
gray_zebra.bin,use_node_exchange=true_use_2opt=true,3,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,5011.6200,0.001280
gray_zebra.bin,baseline,4,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4844.6514,1.279859
gray_zebra.bin,use_2opt=true,4,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4798.2564,0.000619
gray_zebra.bin,use_or_opt=true,4,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4809.4818,0.002173
gray_zebra.bin,use_node_exchange=true,4,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4844.6514,0.000475
gray_zebra.bin,use_node_exchange=true_use_2opt=true,4,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4798.2564,0.001005
gray_zebra.bin,baseline,5,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4876.3515,1.137642
gray_zebra.bin,use_2opt=true,5,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4855.0038,0.000597
gray_zebra.bin,use_or_opt=true,5,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4855.0038,0.000991
gray_zebra.bin,use_node_exchange=true,5,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4876.3515,0.000514
gray_zebra.bin,use_node_exchange=true_use_2opt=true,5,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4855.0038,0.001029
gray_zebra.bin,baseline,6,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,5036.6758,1.125463
gray_zebra.bin,use_2opt=true,6,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4976.7934,0.000578
gray_zebra.bin,use_or_opt=true,6,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4915.8048,0.002314
gray_zebra.bin,use_node_exchange=true,6,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,5025.5265,0.000448
gray_zebra.bin,use_node_exchange=true_use_2opt=true,6,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4907.4220,0.001168
gray_zebra.bin,baseline,7,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4994.2305,1.121850
gray_zebra.bin,use_2opt=true,7,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4933.3929,0.000557
gray_zebra.bin,use_or_opt=true,7,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4933.3929,0.001691
gray_zebra.bin,use_node_exchange=true,7,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4994.2305,0.000447
gray_zebra.bin,use_node_exchange=true_use_2opt=true,7,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4933.3929,0.000949
gray_zebra.bin,baseline,8,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4932.1641,1.136840
gray_zebra.bin,use_2opt=true,8,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4861.2938,0.000596
gray_zebra.bin,use_or_opt=true,8,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4844.0713,0.002188
gray_zebra.bin,use_node_exchange=true,8,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4932.1641,0.000486
gray_zebra.bin,use_node_exchange=true_use_2opt=true,8,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4861.2938,0.001062
gray_zebra.bin,baseline,9,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4849.3930,1.143107
gray_zebra.bin,use_2opt=true,9,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4821.0613,0.000624
gray_zebra.bin,use_or_opt=true,9,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4821.9045,0.001184
gray_zebra.bin,use_node_exchange=true,9,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4849.3930,0.000489
gray_zebra.bin,use_node_exchange=true_use_2opt=true,9,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4821.0613,0.001050
gray_zebra.bin,baseline,10,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4977.0881,1.146477
gray_zebra.bin,use_2opt=true,10,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4894.2451,0.000920
gray_zebra.bin,use_or_opt=true,10,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4903.5659,0.002895
gray_zebra.bin,use_node_exchange=true,10,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4977.0881,0.000489
gray_zebra.bin,use_node_exchange=true_use_2opt=true,10,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4894.2451,0.001328
gray_zebra.bin,baseline,11,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4856.6540,1.150539
gray_zebra.bin,use_2opt=true,11,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4767.2765,0.000661
gray_zebra.bin,use_or_opt=true,11,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4767.6940,0.003279
gray_zebra.bin,use_node_exchange=true,11,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4856.6540,0.000489
gray_zebra.bin,use_node_exchange=true_use_2opt=true,11,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4767.2765,0.001108
gray_zebra.bin,baseline,12,iteration_best,0.5,2,5,0.2,64,250,0,0,0,7,4994.3513,1.172068
gray_zebra.bin,use_2opt=true,12,iteration_best,0.5,2,5,0.2,64,250,1,0,0,7,4896.4223,0.000790
gray_zebra.bin,use_or_opt=true,12,iteration_best,0.5,2,5,0.2,64,250,0,1,0,7,4896.4223,0.002593
gray_zebra.bin,use_node_exchange=true,12,iteration_best,0.5,2,5,0.2,64,250,0,0,1,7,4994.3513,0.000461
gray_zebra.bin,use_node_exchange=true_use_2opt=true,12,iteration_best,0.5,2,5,0.2,64,250,1,0,1,7,4896.4223,0.001195
