dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_Vinyl.bin,alpha=1.2_beta=5,1,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2794.4500,1.466054
gray_Vinyl.bin,alpha=1.2_beta=5,2,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2840.9116,1.453869
gray_Vinyl.bin,alpha=1.2_beta=5,3,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2772.8800,1.445952
gray_Vinyl.bin,alpha=1.2_beta=5,4,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2827.5222,1.434071
gray_Vinyl.bin,alpha=1.2_beta=5,5,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2770.0092,1.424947
gray_Vinyl.bin,alpha=1.2_beta=5,6,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2769.4655,1.534123
gray_Vinyl.bin,alpha=1.2_beta=5,7,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2779.2094,1.438266
gray_Vinyl.bin,alpha=1.2_beta=5,8,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2783.9655,1.427659
gray_Vinyl.bin,alpha=1.2_beta=5,9,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2765.8686,1.434840
gray_Vinyl.bin,alpha=1.2_beta=5,10,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2781.5857,1.411233
gray_Vinyl.bin,alpha=1.2_beta=5,11,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2771.9835,1.421156
gray_Vinyl.bin,alpha=1.2_beta=5,12,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2801.8807,1.489408
gray_Vinyl.bin,alpha=1.2_beta=5,13,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2798.9529,1.471747
gray_Vinyl.bin,alpha=1.2_beta=5,14,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2811.0378,1.358618
gray_Vinyl.bin,alpha=1.2_beta=5,15,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,2773.1821,1.367027
gray_Vinyl.bin,alpha=1.2_beta=6,1,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2822.1056,1.313868
gray_Vinyl.bin,alpha=1.2_beta=6,2,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2848.7182,1.419662
gray_Vinyl.bin,alpha=1.2_beta=6,3,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2770.3202,1.473123
gray_Vinyl.bin,alpha=1.2_beta=6,4,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2754.1433,1.481058
gray_Vinyl.bin,alpha=1.2_beta=6,5,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2765.8382,1.610947
gray_Vinyl.bin,alpha=1.2_beta=6,6,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2766.0438,1.446459
gray_Vinyl.bin,alpha=1.2_beta=6,7,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2798.1145,1.373338
gray_Vinyl.bin,alpha=1.2_beta=6,8,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2813.0668,1.383329
gray_Vinyl.bin,alpha=1.2_beta=6,9,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2778.4644,1.379810
gray_Vinyl.bin,alpha=1.2_beta=6,10,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2813.5236,1.498891
gray_Vinyl.bin,alpha=1.2_beta=6,11,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2851.3232,1.483524
gray_Vinyl.bin,alpha=1.2_beta=6,12,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2766.3490,1.608328
gray_Vinyl.bin,alpha=1.2_beta=6,13,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2804.3692,1.479814
gray_Vinyl.bin,alpha=1.2_beta=6,14,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2806.2901,1.451835
gray_Vinyl.bin,alpha=1.2_beta=6,15,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,2800.6741,1.652507
gray_Vinyl.bin,alpha=1.2_beta=7,1,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2767.8657,1.412214
gray_Vinyl.bin,alpha=1.2_beta=7,2,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2789.6441,1.447695
gray_Vinyl.bin,alpha=1.2_beta=7,3,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2801.5889,1.401564
gray_Vinyl.bin,alpha=1.2_beta=7,4,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2777.3047,1.521133
gray_Vinyl.bin,alpha=1.2_beta=7,5,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2780.8351,1.574431
gray_Vinyl.bin,alpha=1.2_beta=7,6,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2775.6009,1.515661
gray_Vinyl.bin,alpha=1.2_beta=7,7,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2761.3300,1.394135
gray_Vinyl.bin,alpha=1.2_beta=7,8,iteration_best,0.5,1.2,7,0.2,64,250,0,0,0,5,2767.4328,1.391152
