dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_bnw.bin,alpha=1.2_beta=5,1,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5369.9123,1.505772
gray_bnw.bin,alpha=1.2_beta=5,2,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5444.6127,1.415805
gray_bnw.bin,alpha=1.2_beta=5,3,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5395.1657,1.451740
gray_bnw.bin,alpha=1.2_beta=5,4,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5721.6591,1.454284
gray_bnw.bin,alpha=1.2_beta=5,5,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5603.3650,1.483581
gray_bnw.bin,alpha=1.2_beta=5,6,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5315.4416,1.489357
gray_bnw.bin,alpha=1.2_beta=5,7,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5593.4272,1.665396
gray_bnw.bin,alpha=1.2_beta=5,8,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5686.1989,1.596684
gray_bnw.bin,alpha=1.2_beta=5,9,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5375.5417,1.571413
gray_bnw.bin,alpha=1.2_beta=5,10,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5610.0200,1.479214
gray_bnw.bin,alpha=1.2_beta=5,11,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5441.8740,1.419593
gray_bnw.bin,alpha=1.2_beta=5,12,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5374.0904,1.431630
gray_bnw.bin,alpha=1.2_beta=5,13,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5549.9809,1.478142
gray_bnw.bin,alpha=1.2_beta=5,14,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5498.7093,1.415874
gray_bnw.bin,alpha=1.2_beta=5,15,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5366.6027,1.526583
gray_bnw.bin,alpha=1.2_beta=6,1,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5411.9296,1.695612
gray_bnw.bin,alpha=1.2_beta=6,2,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5641.5374,1.553110
gray_bnw.bin,alpha=1.2_beta=6,3,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5357.0487,1.425498
gray_bnw.bin,alpha=1.2_beta=6,4,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5389.8731,1.543184
gray_bnw.bin,alpha=1.2_beta=6,5,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5409.6735,1.459444
gray_bnw.bin,alpha=1.2_beta=6,6,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5368.5568,1.482312
gray_bnw.bin,alpha=1.2_beta=6,7,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5370.5645,1.417884
gray_bnw.bin,alpha=1.2_beta=6,8,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5346.4409,1.433486
gray_bnw.bin,alpha=1.2_beta=6,9,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5730.7510,1.405430
gray_bnw.bin,alpha=1.2_beta=6,10,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5643.8327,1.432001
gray_bnw.bin,alpha=1.2_beta=6,11,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5588.4985,1.406629
gray_bnw.bin,alpha=1.2_beta=6,12,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5580.5493,1.379634
gray_bnw.bin,alpha=1.2_beta=6,13,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5443.4332,1.384533
gray_bnw.bin,alpha=1.2_beta=6,14,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5409.5137,1.393091
gray_bnw.bin,alpha=1.2_beta=6,15,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5674.9818,1.410752
