dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_gradient.bin,alpha=1.2_beta=5,1,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4652.8128,1.373513
gray_gradient.bin,alpha=1.2_beta=5,2,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4670.0234,1.353934
gray_gradient.bin,alpha=1.2_beta=5,3,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4643.0975,1.387817
gray_gradient.bin,alpha=1.2_beta=5,4,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4544.0163,1.363530
gray_gradient.bin,alpha=1.2_beta=5,5,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4586.8746,1.366462
gray_gradient.bin,alpha=1.2_beta=5,6,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4662.8989,1.362140
gray_gradient.bin,alpha=1.2_beta=5,7,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4745.1305,1.379134
gray_gradient.bin,alpha=1.2_beta=5,8,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4556.8789,1.347400
gray_gradient.bin,alpha=1.2_beta=5,9,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4782.1207,1.335545
gray_gradient.bin,alpha=1.2_beta=5,10,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4554.8200,1.354249
gray_gradient.bin,alpha=1.2_beta=5,11,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4725.9342,1.322407
gray_gradient.bin,alpha=1.2_beta=5,12,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4648.3870,1.354216
gray_gradient.bin,alpha=1.2_beta=5,13,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4627.4141,1.351621
gray_gradient.bin,alpha=1.2_beta=5,14,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4686.1431,1.497765
gray_gradient.bin,alpha=1.2_beta=5,15,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,4661.1766,1.425573
gray_gradient.bin,alpha=1.2_beta=6,1,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,4594.6561,1.389960
gray_gradient.bin,alpha=1.2_beta=6,2,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,4601.6636,1.517211
gray_gradient.bin,alpha=1.2_beta=6,3,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,4590.5869,1.440460
gray_gradient.bin,alpha=1.2_beta=6,4,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,4579.6826,1.371710
