dataset,combo_name,trial_id,update_strategy,coverage,alpha,beta,evaporation,ants,tau_gap,use_2opt,use_or_opt,use_node_exchange,ls_top_ants,best_length,elapsed_seconds
gray_zebra.bin,alpha=1.2_beta=5,1,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5875.6290,1.642356
gray_zebra.bin,alpha=1.2_beta=5,2,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5835.6486,1.587513
gray_zebra.bin,alpha=1.2_beta=5,3,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5709.6411,1.623140
gray_zebra.bin,alpha=1.2_beta=5,4,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5761.3615,1.643681
gray_zebra.bin,alpha=1.2_beta=5,5,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5803.9743,1.697710
gray_zebra.bin,alpha=1.2_beta=5,6,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5740.4061,1.740232
gray_zebra.bin,alpha=1.2_beta=5,7,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5783.2520,1.686644
gray_zebra.bin,alpha=1.2_beta=5,8,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5823.4770,1.644323
gray_zebra.bin,alpha=1.2_beta=5,9,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5727.1672,1.599929
gray_zebra.bin,alpha=1.2_beta=5,10,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5783.6603,1.595212
gray_zebra.bin,alpha=1.2_beta=5,11,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5753.5306,1.626381
gray_zebra.bin,alpha=1.2_beta=5,12,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5586.2733,1.680733
gray_zebra.bin,alpha=1.2_beta=5,13,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5768.5765,1.675516
gray_zebra.bin,alpha=1.2_beta=5,14,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5766.4980,1.627562
gray_zebra.bin,alpha=1.2_beta=5,15,iteration_best,0.5,1.2,5,0.2,64,250,0,0,0,5,5792.7387,1.623746
gray_zebra.bin,alpha=1.2_beta=6,1,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5648.0636,1.600327
gray_zebra.bin,alpha=1.2_beta=6,2,iteration_best,0.5,1.2,6,0.2,64,250,0,0,0,5,5796.6861,1.619039
